ds,yhat,yhat_lower,yhat_upper
2017-10-01,1123216.27,1099088.93,1146147.14
2017-11-01,1119996.11,1097190.1,1142436.46
2017-12-01,1135692.28,1112054.08,1158752.62
2018-01-01,1144660.17,1121799.02,1167221.54
2018-02-01,1082305.95,1058802.77,1104856.07
2018-03-01,1163268.15,1140038.53,1187564.46
